initializing stack
starting paralel processing of 25093 genes
fulling up process stack for first time
cycling fineshed processes. moving finished to self.finished and adding new from self.stack
1660559920.9810736 removing LOC119714219 , adding LOC101793940
1660559921.9883168 removing LOC119714221 , adding LOC101796225
1660559921.9925897 removing GOLGB1 , adding NME6
1660559921.9984577 removing LOC101793940 , adding LOC101793761
1660559923.005696 removing LOC119715629 , adding LOC101793578
1660559923.0101662 removing LOC101796225 , adding ARSA
1660559923.0161138 removing LOC101793761 , adding LOC101795648
1660559924.0241628 removing LOC119715602 , adding LOC101793391
1660559924.0286043 removing LOC101793578 , adding LOC119713273
1660559924.034692 removing LOC101795648 , adding LOC119713274
1660559925.041707 removing NME6 , adding MAPK8IP2
1660559925.0458844 removing LOC101793391 , adding CHKB
1660559925.0516675 removing LOC119713274 , adding CPT1B
1660559926.0586424 removing ARSA , adding LOC119714207
1660559926.062899 removing MAPK8IP2 , adding LOC119713283
1660559926.0687335 removing CPT1B , adding LOC119713911
1660559927.0756743 removing LOC119713273 , adding ODF3B
1660559927.0799189 removing LOC119714207 , adding LOC119718726
1660559927.0857694 removing LOC119713911 , adding LOC119718729
1660559928.0930965 removing CHKB , adding NCAPH2
1660559928.097578 removing ODF3B , adding LMF2
1660559928.1033077 removing LOC119718729 , adding MIOX
1660559929.110456 removing LOC119713283 , adding ADM2
1660559929.1149533 removing NCAPH2 , adding SBF1
1660559929.120953 removing MIOX , adding PPP6R2
1660559930.128203 removing LOC119718726 , adding LOC119713396
1660559930.1327548 removing ADM2 , adding LOC119713400
1660559930.1388304 removing PPP6R2 , adding DENND6B
1660559931.145775 removing LMF2 , adding LOC106017618
1660559931.1500392 removing LOC119713396 , adding LOC119713298
1660559931.1559048 removing DENND6B , adding GCC1
1660559932.1632137 removing SBF1 , adding ARF5
1660559932.1675253 removing LOC106017618 , adding PAX4
1660559932.1735969 removing GCC1 , adding SND1
1660559933.180557 removing LOC119713400 , adding LOC119713601
1660559933.1848686 removing ARF5 , adding LOC106015787
1660559933.1910973 removing SND1 , adding AHCYL2
1660559934.1981587 removing LOC119713298 , adding STRIP2
1660559934.202506 removing LOC119713601 , adding LOC113844150
1660559934.208391 removing AHCYL2 , adding SMKR1
1660559935.2155874 removing PAX4 , adding LOC119718463
1660559935.2201462 removing STRIP2 , adding NRF1
1660559935.2261333 removing SMKR1 , adding UBE2H
1660559936.233115 removing LOC106015787 , adding ZC3HC1
1660559936.23816 removing LOC119718463 , adding KLHDC10
1660559936.2440846 removing UBE2H , adding LOC101804914
1660559937.2510061 removing LOC113844150 , adding TMEM209
1660559937.2552376 removing ZC3HC1 , adding LOC101805104
1660559937.261015 removing LOC101804914 , adding LOC101805302
1660559938.2681763 removing NRF1 , adding LOC101789381
1660559938.2725334 removing TMEM209 , adding CEP41
1660559938.2783957 removing LOC101805302 , adding MEST
1660559939.2853484 removing KLHDC10 , adding COPG2
1660559939.2918212 removing CEP41 , adding LOC113844122
1660559940.2988873 removing LOC101805104 , adding IL15RA
1660559940.3033454 removing MEST , adding FBH1
1660559940.3093607 removing LOC113844122 , adding LOC119715564
1660559941.3166502 removing LOC101789381 , adding ANKRD16
1660559941.3210974 removing IL15RA , adding GDI2
1660559941.3269832 removing LOC119715564 , adding TASOR2
1660559942.3342106 removing COPG2 , adding LOC119715563
1660559942.338741 removing ANKRD16 , adding ASB13
1660559942.3447478 removing TASOR2 , adding LOC101805317
1660559943.351809 removing FBH1 , adding NET1
1660559943.3560493 removing LOC119715563 , adding LOC106015406
1660559943.3618639 removing LOC101805317 , adding TUBAL3
1660559944.369086 removing GDI2 , adding UCN3
1660559944.3736968 removing NET1 , adding LOC101790071
1660559944.37963 removing TUBAL3 , adding LOC119718123
1660559945.3866706 removing ASB13 , adding SLC35B4
1660559945.391085 removing UCN3 , adding LOC119718125
1660559945.3973396 removing LOC119718123 , adding LOC101789895
1660559946.4054608 removing LOC106015406 , adding EXOC4
1660559946.41006 removing SLC35B4 , adding LOC119717341
1660559946.4162 removing LOC101789895 , adding LOC119713325
1660559947.4236934 removing LOC101790071 , adding CHCHD3
1660559947.4280903 removing EXOC4 , adding LOC101804238
1660559947.4351392 removing LOC119713325 , adding PLXNA4
1660559948.4423175 removing LOC119718125 , adding LOC110354681
1660559948.4467442 removing CHCHD3 , adding LOC110353845
1660559948.4527 removing PLXNA4 , adding LOC110353851
1660559949.4596248 removing LOC119717341 , adding LOC110353844
1660559949.4643655 removing LOC110354681 , adding LOC106019031
1660559949.4703767 removing LOC110353851 , adding PODXL
1660559950.4774828 removing LOC101804238 , adding LOC119715639
1660559950.4821582 removing LOC110353844 , adding MKLN1
1660559950.4884667 removing PODXL , adding LOC119717831
1660559951.4954443 removing LOC110353845 , adding LOC110353846
1660559951.499756 removing LOC119715639 , adding LOC119717836
1660559951.5057302 removing LOC119717831 , adding LOC101790301
1660559952.512866 removing LOC106019031 , adding LOC101789606
1660559952.517143 removing LOC110353846 , adding RBM17
1660559952.5230644 removing LOC101790301 , adding PFKFB3
1660559953.5301461 removing MKLN1 , adding LOC110353849
1660559953.5344408 removing LOC101789606 , adding LOC110351645
1660559953.5404718 removing PFKFB3 , adding PRKCQ
1660559954.5477214 removing LOC119717836 , adding LOC119715611
1660559954.5521173 removing LOC110353849 , adding LOC110351644
1660559954.55833 removing PRKCQ , adding SFMBT2
1660559955.5654833 removing RBM17 , adding LOC101794222
1660559955.5698528 removing LOC119715611 , adding ITIH5
1660559955.5758553 removing SFMBT2 , adding ITIH2
1660559956.583178 removing LOC110351645 , adding KIN
1660559956.5875509 removing LOC101794222 , adding ATP5F1C
1660559956.5938056 removing ITIH2 , adding TAF3
1660559957.601137 removing LOC110351644 , adding GATA3
1660559957.6056328 removing KIN , adding LOC119716303
1660559957.6115725 removing TAF3 , adding LOC106016349
1660559958.6186767 removing ITIH5 , adding LOC119715053
1660559958.6230624 removing GATA3 , adding LOC101795885
1660559958.6290083 removing LOC106016349 , adding LOC106016362
1660559959.6364925 removing ATP5F1C , adding LOC110352326
1660559959.6423924 removing LOC119715053 , adding CELF2
1660559959.6486309 removing LOC106016362 , adding USP6NL
1660559960.6569264 removing LOC119716303 , adding LOC106016400
1660559960.662466 removing LOC110352326 , adding ECHDC3
1660559960.6684785 removing USP6NL , adding PROSER2
1660559961.6758015 removing LOC101795885 , adding UPF2
1660559961.680114 removing LOC106016400 , adding DHTKD1
1660559961.6859581 removing PROSER2 , adding SEC61A2
1660559962.6929688 removing CELF2 , adding NUDT5
1660559962.697331 removing UPF2 , adding CDC123
1660559962.703827 removing SEC61A2 , adding CAMK1D
1660559963.710954 removing ECHDC3 , adding CCDC3
1660559963.715375 removing NUDT5 , adding LOC113844019
1660559963.7212298 removing CAMK1D , adding LOC119715765
1660559964.728822 removing DHTKD1 , adding OPTN
1660559964.7335234 removing CCDC3 , adding MCM10
1660559964.7394996 removing LOC119715765 , adding PHYH
1660559965.7464218 removing CDC123 , adding SEPHS1
1660559965.7508006 removing OPTN , adding LOC119717432
1660559965.7567248 removing PHYH , adding BEND7
1660559966.7639525 removing LOC113844019 , adding LOC119718134
1660559966.7682323 removing SEPHS1 , adding LOC110352602
1660559966.7740748 removing BEND7 , adding PRPF18
1660559967.7816768 removing MCM10 , adding FRMD4A
1660559967.7861292 removing LOC119718134 , adding FAM107B
1660559967.7918983 removing PRPF18 , adding LOC113843985
1660559968.798865 removing LOC119717432 , adding HSPA14
1660559968.8040152 removing FAM107B , adding SUV39H2
1660559969.8111775 removing LOC110352602 , adding DCLRE1C
1660559969.8157594 removing LOC113843985 , adding MEIG1
1660559969.8217046 removing SUV39H2 , adding TMEM243
1660559970.8287964 removing FRMD4A , adding DMTF1
1660559970.8333848 removing DCLRE1C , adding ELAPOR2
1660559970.8395455 removing TMEM243 , adding GRM3
1660559971.8468258 removing HSPA14 , adding LOC110354461
1660559971.851175 removing DMTF1 , adding LOC110354469
1660559971.857226 removing GRM3 , adding LOC101803540
1660559972.864492 removing MEIG1 , adding LOC106020136
1660559972.8691523 removing LOC110354461 , adding SEMA3D
1660559972.8751867 removing LOC101803540 , adding LOC119714435
1660559973.8811548 removing ELAPOR2 , adding LOC119717099
1660559973.8870537 removing LOC106020136 , adding SEMA3A
1660559974.8942435 removing LOC110354469 , adding LOC113843961
1660559974.8985825 removing LOC119714435 , adding LOC113843960
1660559975.9055965 removing SEMA3D , adding LOC110351962
1660559975.9102123 removing SEMA3A , adding SEMA3E
1660559975.915968 removing LOC113843960 , adding LOC113844702
1660559976.923313 removing LOC119717099 , adding LOC106015707
1660559976.9285843 removing LOC110351962 , adding PCLO
1660559976.9344914 removing LOC113844702 , adding LOC110351960
1660559977.9416614 removing LOC113843961 , adding LOC119718474
1660559977.9461267 removing LOC106015707 , adding LOC113843954
1660559977.952078 removing LOC110351960 , adding LOC119715870
1660559978.9591372 removing SEMA3E , adding LOC106015712
1660559978.9634156 removing LOC119718474 , adding LOC119715541
1660559978.970458 removing LOC119715870 , adding CACNA2D1
1660559979.9771485 removing PCLO , adding LOC110353234
1660559979.9813683 removing LOC106015712 , adding LOC110353235
1660559979.987399 removing CACNA2D1 , adding HGF
1660559980.9945252 removing LOC113843954 , adding LOC101796160
1660559980.9991264 removing HGF , adding LOC119715601
1660559982.0064914 removing LOC119715541 , adding TRNAL-CAG
1660559982.0112941 removing LOC110353235 , adding SEMA3C
1660559982.0172439 removing LOC119715601 , adding CD36
1660559983.0242016 removing LOC110353234 , adding LOC101797418
1660559983.0285118 removing TRNAL-CAG , adding LOC101797591
1660559983.0343456 removing CD36 , adding LOC119713083
1660559984.0432758 removing LOC101796160 , adding MAGI2
1660559984.0477273 removing LOC101797418 , adding PHTF2
1660559984.0536468 removing LOC119713083 , adding TMEM60
1660559985.060753 removing SEMA3C , adding RSBN1L
1660559985.0662315 removing PHTF2 , adding PTPN12
1660559986.0733266 removing LOC101797591 , adding LOC110351668
1660559986.077548 removing TMEM60 , adding LOC106015179
1660559986.0835273 removing PTPN12 , adding LOC101805113
1660559987.0908797 removing MAGI2 , adding CCDC146
1660559987.0954204 removing LOC110351668 , adding FGL2
1660559987.1015007 removing LOC101805113 , adding FAM185A
1660559988.1086676 removing RSBN1L , adding FBXL13
1660559988.1129313 removing CCDC146 , adding LRRC17
1660559988.1187887 removing FAM185A , adding ARMC10
1660559989.1260269 removing LOC106015179 , adding NAPEPLD
1660559989.1306233 removing FBXL13 , adding LOC110351667
1660559989.13691 removing ARMC10 , adding PMPCB
1660559990.1441097 removing FGL2 , adding DNAJC2
1660559990.1485672 removing NAPEPLD , adding PSMC2
1660559990.1545606 removing PMPCB , adding SLC26A5
1660559991.1621006 removing LRRC17 , adding LOC113843895
1660559991.167527 removing DNAJC2 , adding RELN
1660559991.1736815 removing SLC26A5 , adding LOC119718071
1660559992.1807683 removing LOC110351667 , adding LOC119718072
1660559992.1853387 removing LOC113843895 , adding ORC5
1660559992.1911678 removing LOC119718071 , adding TRNAL-AAG
1660559993.1981428 removing PSMC2 , adding TRNAG-CCC
1660559993.2023728 removing LOC119718072 , adding TRNAL-AAG_1
1660559993.209045 removing TRNAL-AAG , adding LHFPL3
1660559994.2163565 removing RELN , adding LOC119716356
1660559994.2209072 removing TRNAG-CCC , adding LOC106018873
1660559995.2279294 removing ORC5 , adding KMT2E
1660559995.2332847 removing LHFPL3 , adding SRPK2
1660559996.24023 removing TRNAL-AAG_1 , adding LOC106018331
1660559996.2445748 removing LOC106018873 , adding PUS7
1660559996.2505267 removing SRPK2 , adding RINT1
1660559997.2572968 removing LOC119716356 , adding EFCAB10
1660559997.2618544 removing LOC106018331 , adding ATXN7L1
1660559997.2677927 removing RINT1 , adding CDHR3
1660559998.2749665 removing KMT2E , adding SYPL1
1660559998.2796776 removing EFCAB10 , adding NAMPT
1660559998.285895 removing CDHR3 , adding LOC119715581
1660559999.2928543 removing PUS7 , adding LOC106018386
1660559999.2970524 removing SYPL1 , adding CCDC71L
1660559999.30309 removing LOC119715581 , adding PIK3CG
1660560000.3101852 removing ATXN7L1 , adding LOC119713961
1660560000.314785 removing LOC106018386 , adding PRKAR2B
1660560000.3208654 removing PIK3CG , adding HBP1
1660560001.3284073 removing NAMPT , adding COG5
1660560001.332728 removing LOC119713961 , adding GPR22
1660560001.3385725 removing HBP1 , adding DUS4L
1660560002.3457694 removing CCDC71L , adding BCAP29
1660560002.3502657 removing GPR22 , adding SLC26A4
1660560003.3572276 removing PRKAR2B , adding CBLL1
1660560003.3616312 removing DUS4L , adding SLC26A3
1660560003.367661 removing SLC26A4 , adding LOC101801299
1660560004.374991 removing COG5 , adding DLD
1660560004.379458 removing CBLL1 , adding LAMB1
1660560004.3854334 removing LOC101801299 , adding LOC106018431
1660560005.3926802 removing BCAP29 , adding LAMB4
1660560005.3969762 removing DLD , adding LOC106018432
1660560005.4028645 removing LOC106018431 , adding ERGIC2
1660560006.4104176 removing SLC26A3 , adding LRRK2
1660560006.415282 removing LAMB4 , adding SLC2A13
1660560006.421269 removing ERGIC2 , adding C1H12orf40
1660560007.4286144 removing LAMB1 , adding ABCD2
1660560007.433184 removing SLC2A13 , adding KIF21A
1660560008.4403658 removing LOC106018432 , adding LOC101802279
1660560008.4451005 removing C1H12orf40 , adding CPNE8
1660560008.4511821 removing KIF21A , adding LOC119713675
1660560009.4581788 removing LRRK2 , adding LOC119713677
1660560009.4626942 removing LOC101802279 , adding LOC110353572
1660560009.4687085 removing LOC119713675 , adding LOC119715653
1660560010.4758894 removing ABCD2 , adding LOC101802648
1660560010.4803202 removing LOC119713677 , adding TPRKB
1660560010.4866421 removing LOC119715653 , adding LOC113843815
1660560011.4937415 removing CPNE8 , adding GTSE1
1660560011.4980216 removing LOC101802648 , adding TRMU
1660560011.504386 removing LOC113843815 , adding CELSR1
1660560012.511754 removing LOC110353572 , adding LOC119717991
1660560012.51612 removing GTSE1 , adding LOC101799585
1660560012.5221393 removing CELSR1 , adding GRAMD4
1660560013.5292501 removing TPRKB , adding LOC119716991
1660560013.5336554 removing LOC119717991 , adding LOC106018336
1660560013.5396378 removing GRAMD4 , adding CERK
1660560014.5471566 removing TRMU , adding TBC1D22A
1660560015.5545793 removing LOC101799585 , adding LOC113843801
1660560015.5599885 removing LOC106018336 , adding TAFA5
1660560015.565927 removing TBC1D22A , adding LOC110353582
1660560016.5731173 removing LOC119716991 , adding LOC106018521
1660560016.577695 removing LOC113843801 , adding LOC119715621
1660560016.583815 removing LOC110353582 , adding LOC106017514
1660560017.5908926 removing CERK , adding BRD1
1660560017.5952058 removing LOC106018521 , adding ZBED4
1660560017.601133 removing LOC106017514 , adding ALG12
1660560018.608479 removing TAFA5 , adding CRELD2
1660560018.6128125 removing BRD1 , adding LOC106017518
1660560018.6187248 removing ALG12 , adding LOC106017517
1660560019.6253119 removing LOC119715621 , adding LOC106017519
1660560019.6296675 removing CRELD2 , adding LOC106017516
1660560019.6355228 removing LOC106017517 , adding LOC106017526
1660560020.643064 removing ZBED4 , adding LOC119713401
1660560020.6475146 removing LOC106017519 , adding PIM3
1660560020.6534212 removing LOC106017526 , adding LOC110352959
1660560021.6605806 removing LOC106017518 , adding LOC106017520
1660560021.664992 removing LOC119713401 , adding IL17REL
1660560021.670924 removing LOC110352959 , adding MLC1
1660560022.678439 removing LOC106017516 , adding MOV10L1
1660560022.6829603 removing LOC106017520 , adding PANX2
1660560022.6887794 removing MLC1 , adding LOC106017530
1660560023.6957433 removing PIM3 , adding LOC119715622
1660560023.7001688 removing MOV10L1 , adding TRABD
1660560023.7061205 removing LOC106017530 , adding LOC106017522
1660560024.7133787 removing IL17REL , adding SELENOO
1660560024.7177732 removing LOC119715622 , adding TUBGCP6
1660560024.7237067 removing LOC106017522 , adding HDAC10
1660560025.7309155 removing PANX2 , adding LOC101793404
1660560025.7354727 removing SELENOO , adding MAPK12
1660560025.7413335 removing HDAC10 , adding LOC119717445
1660560026.7482615 removing TRABD , adding LOC106017523
1660560026.7526007 removing LOC101793404 , adding MAPK11
1660560026.7584372 removing LOC119717445 , adding LOC119715631
1660560027.7663352 removing TUBGCP6 , adding PLXNB2
1660560027.7708797 removing LOC106017523 , adding ZNF800
1660560027.7779043 removing LOC119715631 , adding GRM8
1660560028.7847977 removing MAPK12 , adding LOC106015053
1660560028.789816 removing PLXNB2 , adding LOC110351598
1660560029.7974455 removing MAPK11 , adding POT1
1660560029.8017826 removing GRM8 , adding GPR37
1660560029.8076842 removing LOC110351598 , adding LOC101797519
1660560030.8150465 removing ZNF800 , adding LOC106015054
1660560030.8193383 removing POT1 , adding LOC106014259
1660560030.8252628 removing LOC101797519 , adding HYAL4
1660560031.832169 removing LOC106015053 , adding LOC101799098
1660560031.8365834 removing LOC106015054 , adding LOC119717008
1660560031.8425791 removing HYAL4 , adding WASL
1660560032.850654 removing GPR37 , adding LMOD2
1660560032.8563254 removing LOC119717008 , adding ASB15
1660560033.8636527 removing LOC106014259 , adding NDUFA5
1660560033.8680923 removing WASL , adding IQUB
1660560033.8740065 removing ASB15 , adding LOC113843748
1660560034.8811986 removing LOC101799098 , adding ATP6AP1
1660560034.8856149 removing NDUFA5 , adding LOC119716609
1660560034.8916633 removing LOC113843748 , adding SLC13A1
1660560035.8989563 removing LMOD2 , adding LOC110351589
1660560035.9040227 removing ATP6AP1 , adding CADPS2
1660560035.9099197 removing SLC13A1 , adding FEZF1
1660560036.917057 removing IQUB , adding AASS
1660560036.9216313 removing LOC110351589 , adding PTPRZ1
1660560036.9277782 removing FEZF1 , adding FAM3C
1660560037.935092 removing LOC119716609 , adding WNT16
1660560037.94003 removing AASS , adding CPED1
1660560037.946046 removing FAM3C , adding ING3
1660560038.9532287 removing CADPS2 , adding LOC110351587
1660560038.9576268 removing WNT16 , adding LOC119715560
1660560038.9635265 removing ING3 , adding LOC119715553
1660560039.970563 removing PTPRZ1 , adding TSPAN12
1660560039.9756372 removing LOC110351587 , adding KCND2
1660560039.9815984 removing LOC119715553 , adding LOC119715552
1660560040.9888217 removing CPED1 , adding LOC113843713
1660560040.99336 removing TSPAN12 , adding LOC110351590
1660560040.99935 removing LOC119715552 , adding ANKRD7
1660560042.0066535 removing LOC119715560 , adding LOC113843706
1660560042.0110042 removing LOC113843713 , adding LSM8
1660560042.0172222 removing ANKRD7 , adding LOC101800968
1660560043.0242627 removing KCND2 , adding LOC113841699
1660560043.028625 removing LOC113843706 , adding LOC113841700
1660560043.0348384 removing LOC101800968 , adding CTTNBP2
1660560044.0421689 removing LOC110351590 , adding CFTR
1660560044.046513 removing LOC113841699 , adding LOC113843703
1660560044.0525692 removing CTTNBP2 , adding ASZ1
1660560045.059745 removing LSM8 , adding WNT2
1660560045.0643506 removing CFTR , adding ST7
1660560045.0704048 removing ASZ1 , adding CAPZA2
1660560046.077776 removing LOC113841700 , adding MET
1660560046.082317 removing WNT2 , adding CAV1
1660560046.0883148 removing CAPZA2 , adding CAV2
1660560047.095761 removing LOC113843703 , adding TES
1660560047.1005707 removing MET , adding TFEC
1660560047.1065507 removing CAV2 , adding LOC110354825
1660560048.1137137 removing ST7 , adding LOC106014312
1660560048.1181629 removing TES , adding LOC113843684
1660560048.124121 removing LOC110354825 , adding LOC110354828
1660560049.1313581 removing CAV1 , adding LOC106014338
1660560049.1358461 removing LOC106014312 , adding MDFIC
1660560049.1430306 removing LOC110354828 , adding FOXP2
1660560050.149273 removing TFEC , adding LOC106014339
1660560050.1538408 removing LOC106014338 , adding LOC119717327
1660560050.1599681 removing FOXP2 , adding LOC113843665
1660560051.1669066 removing LOC113843684 , adding PPP1R3A
1660560051.1711648 removing LOC106014339 , adding SMIM30
1660560051.1770945 removing LOC113843665 , adding GPR85
1660560052.1842015 removing MDFIC , adding LOC119715526
1660560052.1885767 removing PPP1R3A , adding LOC110354835
1660560052.1945193 removing GPR85 , adding BMT2
1660560053.2017803 removing LOC119717327 , adding TMEM168
1660560053.206244 removing LOC119715526 , adding LOC113843654
1660560053.2121756 removing BMT2 , adding LOC119715626
1660560054.2192085 removing SMIM30 , adding LSMEM1
1660560054.2235963 removing TMEM168 , adding LOC110354740
1660560054.2294912 removing LOC119715626 , adding IFRD1
1660560055.2363632 removing LOC110354835 , adding LOC106014344
1660560055.2407973 removing LSMEM1 , adding ZNF277
1660560055.2473578 removing IFRD1 , adding DOCK4
1660560056.255461 removing LOC113843654 , adding IMMP2L
1660560056.259793 removing LOC106014344 , adding LOC110351592
1660560056.2657173 removing DOCK4 , adding TRNAI-AAU
1660560057.2725523 removing LOC110354740 , adding LOC119718423
1660560057.2769063 removing IMMP2L , adding LRRN3
1660560057.282785 removing TRNAI-AAU , adding LOC119718422
1660560058.2900453 removing ZNF277 , adding LOC106015046
1660560058.294671 removing LOC119718423 , adding DNAJB9
1660560058.3007064 removing LOC119718422 , adding THAP5
1660560059.3081353 removing LOC110351592 , adding LOC101796234
1660560059.3126543 removing LOC106015046 , adding PNPLA8
1660560059.3189282 removing THAP5 , adding NRCAM
1660560060.3267467 removing LRRN3 , adding CNTN1
1660560060.331749 removing LOC101796234 , adding PDZRN4
1660560061.3397307 removing DNAJB9 , adding LOC119714250
1660560061.3450425 removing NRCAM , adding LOC110352636
1660560062.352345 removing PNPLA8 , adding GXYLT1
1660560063.3595736 removing CNTN1 , adding YAF2
1660560063.364053 removing LOC119714250 , adding LOC119717160
1660560063.370256 removing GXYLT1 , adding ZCRB1
1660560064.3777857 removing PDZRN4 , adding PPHLN1
1660560064.3821306 removing YAF2 , adding PRICKLE1
1660560064.388062 removing ZCRB1 , adding LOC113843602
1660560065.3949366 removing LOC110352636 , adding LOC113843598
1660560065.3994708 removing PPHLN1 , adding LOC110352349
1660560065.4054482 removing LOC113843602 , adding LOC110352350
1660560066.4130468 removing LOC119717160 , adding ADAMTS20
1660560066.4176533 removing LOC110352350 , adding TRNAH-GUG
1660560067.42497 removing PRICKLE1 , adding PUS7L
1660560067.4295588 removing LOC110352349 , adding IRAK4
1660560067.4356017 removing TRNAH-GUG , adding TWF1
1660560068.4432461 removing LOC113843598 , adding TMEM117
1660560068.4476361 removing PUS7L , adding TRNAS-GCU
1660560068.453484 removing TWF1 , adding LOC119713545
1660560069.460564 removing ADAMTS20 , adding LOC106017446
1660560069.4653852 removing TMEM117 , adding NELL2
1660560069.471282 removing LOC119713545 , adding LOC101793561
1660560070.4782667 removing IRAK4 , adding DBX2
1660560070.4826808 removing LOC106017446 , adding LOC113843580
1660560070.4889672 removing LOC101793561 , adding ANO6
1660560071.4962118 removing TRNAS-GCU , adding LOC113843579
1660560071.5006175 removing DBX2 , adding LOC119713104
1660560071.506527 removing ANO6 , adding LOC106017421
1660560072.5141134 removing NELL2 , adding ARID2
1660560072.518469 removing LOC113843579 , adding LOC119713100
1660560072.5246165 removing LOC106017421 , adding SCAF11
1660560073.5318375 removing LOC113843580 , adding LOC106017383
1660560073.536172 removing ARID2 , adding SLC38A1
1660560073.5419807 removing SCAF11 , adding SLC38A2
1660560074.5492065 removing LOC119713104 , adding LOC110352979
1660560074.5536675 removing LOC106017383 , adding LOC106017414
1660560074.5595448 removing SLC38A2 , adding SLC38A4
1660560075.5667083 removing LOC119713100 , adding LOC110352957
1660560075.571033 removing LOC110352979 , adding AMIGO2
1660560075.576897 removing SLC38A4 , adding LOC101790195
1660560076.584285 removing SLC38A1 , adding LOC119715503
1660560076.5889566 removing LOC110352957 , adding LOC119715502
1660560076.5949054 removing LOC101790195 , adding LOC106017380
1660560077.602071 removing LOC106017414 , adding RPAP3
1660560077.606405 removing LOC119715503 , adding ATP23
1660560077.6123235 removing LOC106017380 , adding LOC119715521
1660560078.6197734 removing AMIGO2 , adding LRIG3
1660560078.624089 removing RPAP3 , adding LOC106014590
1660560078.6299546 removing LOC119715521 , adding LOC119715640
