name	g1chr	g1start	g1end	g1name	g2chr	g2start	g2end	g2name
2268	1	243508	245774	 	1	3264	997	 
2250	1	1015	3264	 	1	245756	243508	 
1835	1	243918	245751	 	1	102325	100496	 
1835	1	100496	102325	 	1	245751	243918	 
645	1	245102	245746	 	1	212097	211454	 
639	1	211460	212097	 	1	245740	245102	 
390	1	245358	245746	 	1	67233	66844	 
390	1	66844	67233	 	1	245746	245358	 
314	1	206188	206501	 	1	38986	38675	 
314	1	38675	38986	 	1	206501	206188	 
314	1	38674	38986	 	1	12533	12227	 
314	1	12227	12533	 	1	38986	38674	 
313	1	149180	149492	 	1	12533	12223	 
313	1	12223	12533	 	1	149492	149180	 
302	1	267314	267615	 	1	12532	12235	 
302	1	12235	12532	 	1	267615	267314	 
321	1	206181	206501	 	1	149495	149181	 
321	1	149181	149495	 	1	206501	206181	 
314	1	220139	220450	 	1	12532	12223	 
314	1	12223	12532	 	1	220450	220139	 
259	1	221443	221701	 	1	12484	12229	 
259	1	12229	12484	 	1	221701	221443	 
308	1	267314	267614	 	1	206501	206198	 
308	1	206198	206501	 	1	267614	267314	 
522	1	263874	264390	 	1	101283	100766	 
529	1	100766	101288	 	1	264390	263867	 
326	1	179514	179838	 	1	12533	12223	 
332	1	12223	12539	 	1	179838	179508	 
491	1	263874	264359	 	1	1807	1320	 
498	1	1320	1812	 	1	264359	263867	 
310	1	29961	30267	 	1	12532	12223	 
310	1	12223	12532	 	1	30267	29961	 
322	1	220139	220451	 	1	206501	206183	 
322	1	206183	206501	 	1	220451	220139	 
316	1	251320	251627	 	1	38988	38675	 
316	1	38675	38988	 	1	251627	251320	 
296	1	181373	181667	 	1	12532	12240	 
325	1	206188	206501	 	1	179837	179515	 
299	1	250881	251177	 	1	181669	181373	 
296	1	12240	12532	 	1	181667	181373	 
325	1	179515	179837	 	1	206501	206188	 
299	1	181373	181669	 	1	251177	250881	 
260	1	251317	251574	 	1	221706	221448	 
263	1	221448	221709	 	1	251574	251314	 
267	1	221443	221701	 	1	206453	206190	 
267	1	206190	206453	 	1	221701	221443	 
304	1	105970	106272	 	1	12531	12231	 
322	1	12231	12549	 	1	106272	105952	 
270	1	250904	251172	 	1	106244	105975	 
270	1	105975	106244	 	1	251172	250904	 
285	1	173983	174257	 	1	12520	12236	 
285	1	12236	12520	 	1	174257	173983	 
323	1	251313	251623	 	1	179838	179520	 
323	1	179520	179838	 	1	251623	251313	 
319	1	250861	251176	 	1	54951	54639	 
319	1	54639	54951	 	1	251176	250861	 
217	1	217789	218005	 	1	12434	12223	 
316	1	250872	251178	 	1	38986	38674	 
220	1	12223	12437	 	1	218005	217786	 
316	1	38674	38986	 	1	251178	250872	 
323	1	179186	179504	 	1	12546	12227	 
321	1	206183	206502	 	1	30272	29960	 
323	1	12227	12546	 	1	179504	179186	 
321	1	29960	30272	 	1	206502	206183	 
268	1	251351	251616	 	1	220415	220150	 
268	1	220150	220415	 	1	251616	251351	 
285	1	220150	220429	 	1	15610	15331	 
285	1	15331	15610	 	1	220429	220150	 
221	1	72492	72707	 	1	74469	74250	 
308	1	206194	206501	 	1	128322	128020	 
308	1	128020	128322	 	1	206501	206194	 
307	1	250873	251178	 	1	206116	205814	 
221	1	251309	251528	 	1	218009	217790	 
307	1	205814	206116	 	1	251178	250873	 
221	1	217790	218009	 	1	251528	251309	 
307	1	251323	251627	 	1	30263	29961	 
307	1	29961	30263	 	1	251627	251323	 
306	1	206202	206504	 	1	181667	181370	 
306	1	181370	181667	 	1	206504	206202	 
276	1	105972	106244	 	1	251625	251352	 
286	1	181384	181666	 	1	15610	15330	 
287	1	15330	15610	 	1	181666	181384	 
306	1	149192	149493	 	1	57454	57153	 
306	1	57153	57454	 	1	149493	149192	 
287	1	181390	181671	 	1	141948	141672	 
287	1	141672	141948	 	1	181671	181390	 
307	1	222050	222351	 	1	12528	12232	 
227	1	217789	218007	 	1	206403	206181	 
230	1	206181	206406	 	1	218007	217786	 
307	1	12232	12528	 	1	222351	222050	 
272	1	181398	181667	 	1	29376	29105	 
307	1	206198	206500	 	1	106268	105970	 
272	1	29105	29376	 	1	181667	181398	 
310	1	105970	106271	 	1	206500	206195	 
